timestamp_unix,datetime_utc,increase_2_9_july_2025_no
1752624008,2025-07-16T00:00:08+00:00,0.89
1752710408,2025-07-17T00:00:08+00:00,0.825
1752796808,2025-07-18T00:00:08+00:00,0.855
1752883209,2025-07-19T00:00:09+00:00,0.86
1752969608,2025-07-20T00:00:08+00:00,0.855
1753056007,2025-07-21T00:00:07+00:00,0.85
1753142409,2025-07-22T00:00:09+00:00,0.855
1753228809,2025-07-23T00:00:09+00:00,0.84
1753315209,2025-07-24T00:00:09+00:00,0.835
1753401609,2025-07-25T00:00:09+00:00,0.835
1753488009,2025-07-26T00:00:09+00:00,0.835
1753574410,2025-07-27T00:00:10+00:00,0.845
1753660809,2025-07-28T00:00:09+00:00,0.845
1753747210,2025-07-29T00:00:10+00:00,0.845
1753833610,2025-07-30T00:00:10+00:00,0.845
1753920008,2025-07-31T00:00:08+00:00,0.845
1754006409,2025-08-01T00:00:09+00:00,0.845
1754092809,2025-08-02T00:00:09+00:00,0.83
1754179208,2025-08-03T00:00:08+00:00,0.835
1754265607,2025-08-04T00:00:07+00:00,0.84
1754352008,2025-08-05T00:00:08+00:00,0.83
1754438409,2025-08-06T00:00:09+00:00,0.85
1754524809,2025-08-07T00:00:09+00:00,0.93
1754611206,2025-08-08T00:00:06+00:00,0.93
1754697608,2025-08-09T00:00:08+00:00,0.92
1754784007,2025-08-10T00:00:07+00:00,0.88
1754870406,2025-08-11T00:00:06+00:00,0.835
1754956803,2025-08-12T00:00:03+00:00,0.865
