timestamp_unix,datetime_utc,decreases_25_july_2025_no
1752883209,2025-07-19T00:00:09+00:00,0.9655
1752969608,2025-07-20T00:00:08+00:00,0.9665
1753056007,2025-07-21T00:00:07+00:00,0.965
1753142409,2025-07-22T00:00:09+00:00,0.9605
1753228809,2025-07-23T00:00:09+00:00,0.9615
1753315209,2025-07-24T00:00:09+00:00,0.9695
1753401609,2025-07-25T00:00:09+00:00,0.9715
1753488009,2025-07-26T00:00:09+00:00,0.9665
1753574410,2025-07-27T00:00:10+00:00,0.962
1753660809,2025-07-28T00:00:09+00:00,0.958
1753747210,2025-07-29T00:00:10+00:00,0.9675
1753833610,2025-07-30T00:00:10+00:00,0.9825
