timestamp_unix,datetime_utc,increase_2_8_february_2025_no
1738972804,2025-02-08T00:00:04+00:00,0.78
1739059206,2025-02-09T00:00:06+00:00,0.75
1739145605,2025-02-10T00:00:05+00:00,0.74
1739232004,2025-02-11T00:00:04+00:00,0.74
1739318404,2025-02-12T00:00:04+00:00,0.68
1739404804,2025-02-13T00:00:04+00:00,0.73
1739491205,2025-02-14T00:00:05+00:00,0.79
1739577604,2025-02-15T00:00:04+00:00,0.815
1739664004,2025-02-16T00:00:04+00:00,0.825
1739750404,2025-02-17T00:00:04+00:00,0.86
1739836804,2025-02-18T00:00:04+00:00,0.805
1739923204,2025-02-19T00:00:04+00:00,0.845
1740009604,2025-02-20T00:00:04+00:00,0.76
1740096005,2025-02-21T00:00:05+00:00,0.785
1740182405,2025-02-22T00:00:05+00:00,0.785
1740268804,2025-02-23T00:00:04+00:00,0.78
1740355204,2025-02-24T00:00:04+00:00,0.775
1740441604,2025-02-25T00:00:04+00:00,0.795
1740528005,2025-02-26T00:00:05+00:00,0.805
1740614405,2025-02-27T00:00:05+00:00,0.805
1740700805,2025-02-28T00:00:05+00:00,0.81
1740787205,2025-03-01T00:00:05+00:00,0.785
1740873605,2025-03-02T00:00:05+00:00,0.79
1740960005,2025-03-03T00:00:05+00:00,0.785
1741046405,2025-03-04T00:00:05+00:00,0.765
1741132804,2025-03-05T00:00:04+00:00,0.735
1741219205,2025-03-06T00:00:05+00:00,0.725
1741305605,2025-03-07T00:00:05+00:00,0.74
1741392005,2025-03-08T00:00:05+00:00,0.74
1741478405,2025-03-09T00:00:05+00:00,0.835
1741564804,2025-03-10T00:00:04+00:00,0.825
1741651205,2025-03-11T00:00:05+00:00,0.805
1741737605,2025-03-12T00:00:05+00:00,0.73
