timestamp_unix,datetime_utc,increases_25_may_2025_yes
1737676803,2025-01-24T00:00:03+00:00,0.03
1737763205,2025-01-25T00:00:05+00:00,0.017
1737849604,2025-01-26T00:00:04+00:00,0.017
1737936004,2025-01-27T00:00:04+00:00,0.0265
1738022404,2025-01-28T00:00:04+00:00,0.0215
1738108804,2025-01-29T00:00:04+00:00,0.0175
1738195205,2025-01-30T00:00:05+00:00,0.016
1738281604,2025-01-31T00:00:04+00:00,0.0175
1738368005,2025-02-01T00:00:05+00:00,0.0175
1738454404,2025-02-02T00:00:04+00:00,0.018
1738540805,2025-02-03T00:00:05+00:00,0.019
1738627204,2025-02-04T00:00:04+00:00,0.0265
1738713604,2025-02-05T00:00:04+00:00,0.022
1738800005,2025-02-06T00:00:05+00:00,0.022
1738886404,2025-02-07T00:00:04+00:00,0.019
1738972804,2025-02-08T00:00:04+00:00,0.015
1739059206,2025-02-09T00:00:06+00:00,0.022
1739145605,2025-02-10T00:00:05+00:00,0.022
1739232004,2025-02-11T00:00:04+00:00,0.024
1739318404,2025-02-12T00:00:04+00:00,0.022
1739404804,2025-02-13T00:00:04+00:00,0.019
1739491205,2025-02-14T00:00:05+00:00,0.0235
1739577604,2025-02-15T00:00:04+00:00,0.02
1739664004,2025-02-16T00:00:04+00:00,0.0175
1739750404,2025-02-17T00:00:04+00:00,0.018
1739836804,2025-02-18T00:00:04+00:00,0.0155
1739923204,2025-02-19T00:00:04+00:00,0.017
1740009604,2025-02-20T00:00:04+00:00,0.016
1740096005,2025-02-21T00:00:05+00:00,0.015
1740182405,2025-02-22T00:00:05+00:00,0.016
1740268804,2025-02-23T00:00:04+00:00,0.0155
1740355204,2025-02-24T00:00:04+00:00,0.015
1740441604,2025-02-25T00:00:04+00:00,0.0155
1740528005,2025-02-26T00:00:05+00:00,0.0155
1740614405,2025-02-27T00:00:05+00:00,0.0155
1740700805,2025-02-28T00:00:05+00:00,0.0145
1740787205,2025-03-01T00:00:05+00:00,0.0155
1740873605,2025-03-02T00:00:05+00:00,0.0155
1740960005,2025-03-03T00:00:05+00:00,0.016
1741046405,2025-03-04T00:00:05+00:00,0.015
1741132804,2025-03-05T00:00:04+00:00,0.0135
1741219205,2025-03-06T00:00:05+00:00,0.0105
1741305605,2025-03-07T00:00:05+00:00,0.011
1741392005,2025-03-08T00:00:05+00:00,0.011
1741478405,2025-03-09T00:00:05+00:00,0.011
1741564804,2025-03-10T00:00:04+00:00,0.0105
1741651205,2025-03-11T00:00:05+00:00,0.0095
1741737605,2025-03-12T00:00:05+00:00,0.0095
1741824006,2025-03-13T00:00:06+00:00,0.0075
1741910405,2025-03-14T00:00:05+00:00,0.006
1741996804,2025-03-15T00:00:04+00:00,0.0055
1742083204,2025-03-16T00:00:04+00:00,0.0055
1742169604,2025-03-17T00:00:04+00:00,0.0055
1742256005,2025-03-18T00:00:05+00:00,0.0055
1742342405,2025-03-19T00:00:05+00:00,0.0045
1742428805,2025-03-20T00:00:05+00:00,0.007
1742515205,2025-03-21T00:00:05+00:00,0.0055
1742601606,2025-03-22T00:00:06+00:00,0.0055
1742688006,2025-03-23T00:00:06+00:00,0.0055
1742774405,2025-03-24T00:00:05+00:00,0.0055
1742860806,2025-03-25T00:00:06+00:00,0.0055
1742947205,2025-03-26T00:00:05+00:00,0.0045
1743033606,2025-03-27T00:00:06+00:00,0.0045
1743120006,2025-03-28T00:00:06+00:00,0.0045
1743206406,2025-03-29T00:00:06+00:00,0.0045
1743292806,2025-03-30T00:00:06+00:00,0.0045
1743379205,2025-03-31T00:00:05+00:00,0.0045
1743465605,2025-04-01T00:00:05+00:00,0.0045
1743552006,2025-04-02T00:00:06+00:00,0.0045
1743638405,2025-04-03T00:00:05+00:00,0.0035
1743724805,2025-04-04T00:00:05+00:00,0.0035
1743811205,2025-04-05T00:00:05+00:00,0.0035
1743897605,2025-04-06T00:00:05+00:00,0.0035
1743984006,2025-04-07T00:00:06+00:00,0.0035
1744070406,2025-04-08T00:00:06+00:00,0.0045
1744156806,2025-04-09T00:00:06+00:00,0.0045
1744243205,2025-04-10T00:00:05+00:00,0.007
1744329605,2025-04-11T00:00:05+00:00,0.0075
1744416006,2025-04-12T00:00:06+00:00,0.0065
1744502405,2025-04-13T00:00:05+00:00,0.0055
1744588805,2025-04-14T00:00:05+00:00,0.0055
1744675205,2025-04-15T00:00:05+00:00,0.0055
1744761605,2025-04-16T00:00:05+00:00,0.0055
1744848006,2025-04-17T00:00:06+00:00,0.0055
1744934404,2025-04-18T00:00:04+00:00,0.0055
1745020806,2025-04-19T00:00:06+00:00,0.0055
1745107206,2025-04-20T00:00:06+00:00,0.007
1745193606,2025-04-21T00:00:06+00:00,0.0065
1745280006,2025-04-22T00:00:06+00:00,0.0065
1745366407,2025-04-23T00:00:07+00:00,0.0055
1745452806,2025-04-24T00:00:06+00:00,0.0055
1745539206,2025-04-25T00:00:06+00:00,0.0055
1745625606,2025-04-26T00:00:06+00:00,0.0055
1745712005,2025-04-27T00:00:05+00:00,0.0055
1745798405,2025-04-28T00:00:05+00:00,0.0055
1745884805,2025-04-29T00:00:05+00:00,0.0065
1745971206,2025-04-30T00:00:06+00:00,0.0035
1746057606,2025-05-01T00:00:06+00:00,0.0025
1746144006,2025-05-02T00:00:06+00:00,0.0015
1746230406,2025-05-03T00:00:06+00:00,0.0015
1746316805,2025-05-04T00:00:05+00:00,0.0005
1746403205,2025-05-05T00:00:05+00:00,0.0005
1746489606,2025-05-06T00:00:06+00:00,0.0005
1746576005,2025-05-07T00:00:05+00:00,0.0005
