timestamp_unix,datetime_utc,increase_4_5_june_2026_yes
1781136013,2026-06-11T00:00:13+00:00,0.08
1781222408,2026-06-12T00:00:08+00:00,0.007
1781308809,2026-06-13T00:00:09+00:00,0.006
1781395213,2026-06-14T00:00:13+00:00,0.0025
1781481609,2026-06-15T00:00:09+00:00,0.0015
1781568013,2026-06-16T00:00:13+00:00,0.0005
1781654412,2026-06-17T00:00:12+00:00,0.0015
1781740828,2026-06-18T00:00:28+00:00,0.0015
1781827227,2026-06-19T00:00:27+00:00,0.0015
1781913609,2026-06-20T00:00:09+00:00,0.0015
1782000012,2026-06-21T00:00:12+00:00,0.008
1782086411,2026-06-22T00:00:11+00:00,0.0025
1782172813,2026-06-23T00:00:13+00:00,0.0015
1782259211,2026-06-24T00:00:11+00:00,0.0015
1782345618,2026-06-25T00:00:18+00:00,0.0005
1782432009,2026-06-26T00:00:09+00:00,0.0005
1782518410,2026-06-27T00:00:10+00:00,0.0005
1782604810,2026-06-28T00:00:10+00:00,0.0005
1782691210,2026-06-29T00:00:10+00:00,0.0005
1782777611,2026-06-30T00:00:11+00:00,0.0005
1782864016,2026-07-01T00:00:16+00:00,0.001
1782950414,2026-07-02T00:00:14+00:00,0.0005
1783036813,2026-07-03T00:00:13+00:00,0.0005
1783123212,2026-07-04T00:00:12+00:00,0.0005
1783209612,2026-07-05T00:00:12+00:00,0.0005
1783296005,2026-07-06T00:00:05+00:00,0.0005
1783382411,2026-07-07T00:00:11+00:00,0.0035
1783468807,2026-07-08T00:00:07+00:00,0.0005
1783555214,2026-07-09T00:00:14+00:00,0.0005
1783641611,2026-07-10T00:00:11+00:00,0.0005
1783728010,2026-07-11T00:00:10+00:00,0.0005
1783814423,2026-07-12T00:00:23+00:00,0.0005
1783900812,2026-07-13T00:00:12+00:00,0.0005
1783987210,2026-07-14T00:00:10+00:00,0.0005
