timestamp_unix,datetime_utc,increase_3_9_may_2026_no
1778630412,2026-05-13T00:00:12+00:00,0.795
1778716816,2026-05-14T00:00:16+00:00,0.96
1778803209,2026-05-15T00:00:09+00:00,0.9685
1778889616,2026-05-16T00:00:16+00:00,0.964
1778976027,2026-05-17T00:00:27+00:00,0.984
1779062410,2026-05-18T00:00:10+00:00,0.9975
1779148808,2026-05-19T00:00:08+00:00,0.997
1779235211,2026-05-20T00:00:11+00:00,0.9965
1779321613,2026-05-21T00:00:13+00:00,0.9965
1779408014,2026-05-22T00:00:14+00:00,0.983
1779494410,2026-05-23T00:00:10+00:00,0.995
1779580806,2026-05-24T00:00:06+00:00,0.9955
1779667207,2026-05-25T00:00:07+00:00,0.996
1779753607,2026-05-26T00:00:07+00:00,0.993
1779840008,2026-05-27T00:00:08+00:00,0.9925
1779926411,2026-05-28T00:00:11+00:00,0.992
1780012811,2026-05-29T00:00:11+00:00,0.993
1780099221,2026-05-30T00:00:21+00:00,0.993
1780185610,2026-05-31T00:00:10+00:00,0.9945
1780272006,2026-06-01T00:00:06+00:00,0.9945
1780358408,2026-06-02T00:00:08+00:00,0.9955
1780444808,2026-06-03T00:00:08+00:00,0.9955
1780531206,2026-06-04T00:00:06+00:00,0.995
1780617619,2026-06-05T00:00:19+00:00,0.9955
1780704004,2026-06-06T00:00:04+00:00,0.9955
1780790415,2026-06-07T00:00:15+00:00,0.995
1780876805,2026-06-08T00:00:05+00:00,0.9885
1780963206,2026-06-09T00:00:06+00:00,0.9965
1781049607,2026-06-10T00:00:07+00:00,0.9955
