timestamp_unix,datetime_utc,decreases_50_january_2026_yes
1768435219,2026-01-15T00:00:19+00:00,0.0035
1768521622,2026-01-16T00:00:22+00:00,0.0035
1768608019,2026-01-17T00:00:19+00:00,0.0035
1768694427,2026-01-18T00:00:27+00:00,0.0035
1768780816,2026-01-19T00:00:16+00:00,0.0035
1768867218,2026-01-20T00:00:18+00:00,0.0015
1768953619,2026-01-21T00:00:19+00:00,0.0015
1769040025,2026-01-22T00:00:25+00:00,0.0015
1769126435,2026-01-23T00:00:35+00:00,0.0015
1769212828,2026-01-24T00:00:28+00:00,0.0005
1769299238,2026-01-25T00:00:38+00:00,0.0005
1769385636,2026-01-26T00:00:36+00:00,0.0005
1769472031,2026-01-27T00:00:31+00:00,0.0005
1769558422,2026-01-28T00:00:22+00:00,0.0005
