timestamp_unix,datetime_utc,increase_2_5_may_2025_yes
1747180807,2025-05-14T00:00:07+00:00,0.205
1747267207,2025-05-15T00:00:07+00:00,0.215
1747353606,2025-05-16T00:00:06+00:00,0.225
1747440007,2025-05-17T00:00:07+00:00,0.225
1747526406,2025-05-18T00:00:06+00:00,0.245
1747612806,2025-05-19T00:00:06+00:00,0.255
1747699206,2025-05-20T00:00:06+00:00,0.305
1747785606,2025-05-21T00:00:06+00:00,0.325
1747872007,2025-05-22T00:00:07+00:00,0.32
1747958407,2025-05-23T00:00:07+00:00,0.36
1748044807,2025-05-24T00:00:07+00:00,0.345
1748131206,2025-05-25T00:00:06+00:00,0.345
1748217607,2025-05-26T00:00:07+00:00,0.345
1748304006,2025-05-27T00:00:06+00:00,0.355
1748390406,2025-05-28T00:00:06+00:00,0.36
1748476807,2025-05-29T00:00:07+00:00,0.32
1748563207,2025-05-30T00:00:07+00:00,0.31
1748649607,2025-05-31T00:00:07+00:00,0.215
1748736007,2025-06-01T00:00:07+00:00,0.265
1748822406,2025-06-02T00:00:06+00:00,0.265
1748908807,2025-06-03T00:00:07+00:00,0.305
1748995206,2025-06-04T00:00:06+00:00,0.32
1749081606,2025-06-05T00:00:06+00:00,0.305
1749168006,2025-06-06T00:00:06+00:00,0.305
1749254407,2025-06-07T00:00:07+00:00,0.32
1749340807,2025-06-08T00:00:07+00:00,0.315
1749427207,2025-06-09T00:00:07+00:00,0.325
1749513606,2025-06-10T00:00:06+00:00,0.285
1749600007,2025-06-11T00:00:07+00:00,0.23
